Store,Date,Year,Month,Week,Day,Holiday_Flag,Holiday_Label,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales,Predicted_Sales,Sales_Gap,Sales_Gap_Pct,Absolute_Error,Absolute_Percentage_Error
1,2010-02-05,2010,2,5,5,0,Regular,42.31,2.572,211.0963582,8.106,1643690.9,1650022.1,6331.200000000186,0.0038518190981042645,6331.200000000186,0.0038518190981042645
1,2010-02-12,2010,2,6,12,1,Holiday,38.51,2.548,211.2421698,8.106,1641957.44,1617428.1,-24529.33999999985,-0.01493908392656015,24529.33999999985,0.01493908392656015
1,2010-02-19,2010,2,7,19,0,Regular,39.93,2.514,211.2891429,8.106,1611968.17,1619047.1,7078.930000000168,0.004391482494347372,7078.930000000168,0.004391482494347372
1,2010-02-26,2010,2,8,26,0,Regular,46.63,2.561,211.3196429,8.106,1409727.59,1408240.4,-1487.190000000177,-0.0010549484954041205,1487.190000000177,0.0010549484954041205
1,2010-03-05,2010,3,9,5,0,Regular,46.5,2.625,211.3501429,8.106,1554806.68,1560845.9,6039.219999999972,0.003884225658202068,6039.219999999972,0.003884225658202068
1,2010-03-12,2010,3,10,12,0,Regular,57.79,2.667,211.3806429,8.106,1439541.59,1495448.8,55907.20999999996,0.03883681471127205,55907.20999999996,0.03883681471127205
1,2010-03-19,2010,3,11,19,0,Regular,54.58,2.72,211.215635,8.106,1472515.79,1483009.8,10494.01000000001,0.007126585718989139,10494.01000000001,0.007126585718989139
1,2010-03-26,2010,3,12,26,0,Regular,51.45,2.732,211.0180424,8.106,1404429.92,1389139.0,-15290.919999999925,-0.010887634749336532,15290.919999999925,0.010887634749336532
1,2010-04-02,2010,4,13,2,0,Regular,62.27,2.719,210.8204499,7.808,1594968.28,1558114.2,-36854.080000000075,-0.023106465791282116,36854.080000000075,0.023106465791282116
1,2010-04-09,2010,4,14,9,0,Regular,65.86,2.77,210.6228574,7.808,1545418.53,1536348.4,-9070.130000000121,-0.005869044419960541,9070.130000000121,0.005869044419960541
1,2010-04-16,2010,4,15,16,0,Regular,66.32,2.808,210.4887,7.808,1466058.28,1490541.6,24483.320000000065,0.0167001000806053,24483.320000000065,0.0167001000806053
1,2010-04-23,2010,4,16,23,0,Regular,64.84,2.795,210.4391228,7.808,1391256.12,1405410.4,14154.279999999795,0.010173741410028653,14154.279999999795,0.010173741410028653
1,2010-04-30,2010,4,17,30,0,Regular,67.41,2.78,210.3895456,7.808,1425100.71,1406965.9,-18134.810000000056,-0.012725283113500137,18134.810000000056,0.012725283113500137
1,2010-05-07,2010,5,18,7,0,Regular,72.55,2.835,210.3399684,7.808,1603955.12,1583853.0,-20102.12000000011,-0.01253284443519848,20102.12000000011,0.01253284443519848
